Comment,Designator,Footprint,LCSC
"10uF,10V,X5R ","C1,C2","C_0603_1608Metric","C19702"
"10uF,6.3V,X5R ","C10","C_0402_1005Metric","C15525"
"2.2uF,6.3V,X5R ","C19","C_0402_1005Metric","C12530"
"1uF,25V,X5R ","C3,C4","C_0402_1005Metric","C52923"
"100nF,16V,X7R ","C5,C8,C9,C11,C12,C13,C14,C15,C16,C17,C18","C_0402_1005Metric","C1525"
"20pF,50V,C0G ","C6,C7","C_0402_1005Metric","C1554"
"LED","D1,D3","tom-opto:LED_0603_1608Metric","C2286"
"1N5817","D2","tom-semiconductors:D_SOD-123","C727113"
"Conn_01x10_Female","J1","tom-connectors:PinHeader_1x10_P2.54mm_Vertical",""
"DB15_Female_HighDensity_MountingHoles","J2","tom-connectors:DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm","C711364"
"USB_C_Receptacle_USB2.0","J3","tom-connectors:USB_C_Receptacle_GT-USB-7010","C709357"
"RC2014-ENH","J4","tom-connectors:PinHeader_1x39_P2.54mm_Horizontal",""
"RC2014-STD","J5","tom-connectors:PinHeader_1x39_P2.54mm_Horizontal",""
"Conn_02x05_SWD","J6","tom-connectors:FTSH-105-01-F-DV-K",""
"1k","R1,R2,R3,R4,R11,R12,R13,R14,R22,R23,R24,R25,R33,R39","R_0402_1005Metric","C11702"
"12k","R10,R21,R30","R_0402_1005Metric","C25752"
"5.1k","R16,R19","R_0402_1005Metric","C25905"
"47","R31,R32","R_0402_1005Metric","C25118"
"10k","R34,R35","R_0402_1005Metric","C25744"
"27","R36,R37","R_0603_1608Metric","C25190"
"2k","R5,R6,R7,R15,R17,R18,R26,R27,R28","R_0402_1005Metric","C4109"
"470","R8,R38","R_0402_1005Metric","C25117"
"24k","R9,R20,R29","R_0402_1005Metric","C25769"
"C319395","SW1,SW2,SW3,SW4","tom-mechanical:SW_SPST_SMD_SIDE_C319395","C319395"
"SW_DPDT_x2","SW5","tom-mechanical:SW_DPDT_SMD","C381098"
"Switch_SW_Push","SW6","tom-mechanical:SW_SPST_SMD_SIDE_C319395","C319395"
"74LVC1G125","U1","tom-semiconductors:SOT-23-5",""
"RP2040","U2","tom-semiconductors:RP2040-QFN-56","C2040"
"W25Q128JVS","U3","tom-semiconductors:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"LM1117MPX-3.3","VR1","VREG_LM1117MPX-3.3","C9662"
"12MHz","X1","tom-passives:Crystal_SMD_3225-4Pin_3.2x2.5mm","C9002"
